--- Running Task 10 Fix: CuPy FUSED on GPU for 5000 buildings ---
building_id, time_s, mean_temp, std_temp, pct_above_18, pct_below_15
10000, 2.1543, 14.012338788112752, 6.367431059312565, 30.941014791508444, 55.542295034537624
10009, 2.8731, 11.000135812436369, 5.811144379826625, 16.6712734948236, 74.9723590310584
10014, 3.4303, 14.744169941950117, 7.037733284673848, 38.26367541377415, 52.80837116508215
10019, 3.3852, 14.735524480624484, 7.030325006703675, 38.14915412864569, 52.92926826787113
10029, 1.5039, 10.616037322820358, 6.317331938274926, 18.25563221896085, 74.51301795448481
10031, 2.0498, 12.507072852890545, 6.278432089100354, 24.044722033998173, 66.39513301711693
10051, 0.6602, 13.289039951277402, 5.999085063388632, 25.97693550756574, 62.859923608050536
10053, 1.9334, 11.366493551285707, 6.26121798185875, 19.9510754583921, 72.41052538787024
10056, 0.6890, 14.220114507861702, 6.179461157398302, 31.763454814173965, 57.06174975667784
10064, 2.8015, 12.716968937395848, 6.964227784263681, 28.79137124461432, 62.75688345539249
10075, 3.7867, 15.156939199079357, 6.440520340370851, 39.12088154756647, 47.45605511880576
10079, 3.4834, 15.094353507626133, 7.313911268349322, 41.90001451870493, 49.44974108309539
10080, 3.5180, 15.777740694240357, 7.280585752157965, 46.365765006711015, 44.711034476002
10082, 3.7411, 16.465720758630678, 6.713345052234242, 48.64349722630506, 40.56137689061685
10083, 1.7609, 15.639247995421401, 7.120808056609733, 44.855518923515284, 45.886354482120744
10084, 1.7276, 15.100584697661853, 7.150541807748643, 40.90648998644782, 50.266526125583496
10085, 1.8772, 15.868862158668058, 7.192791728448739, 46.18303917834116, 44.72566696293788
10086, 3.5619, 14.391525374209255, 7.2156160731937105, 37.25664572257129, 53.01884968583857
10087, 3.3845, 15.073205905031166, 7.275519953981684, 41.532405798190645, 49.89713190601896
10089, 3.5351, 13.989763514400204, 7.276278123379982, 35.45861191757374, 56.3640146392669
10090, 0.7155, 14.289771510081428, 6.618760487919524, 36.61720380245769, 51.19638302805471
10093, 3.7475, 14.095290264085056, 6.567366222528459, 33.37738587863163, 56.457308750568714
10094, 3.6840, 14.194041456709904, 6.76150838605498, 35.37678542111312, 54.92584687790729
10097, 1.2802, 14.35295151034438, 6.86234699647944, 37.78967295515373, 51.308832169201644
10117, 0.7850, 15.46497230222894, 6.68210644831902, 44.11653993826696, 44.475394614670385
10119, 0.7949, 14.087564093649062, 6.751740274837882, 35.080178957422206, 54.69763233298145
10120, 0.7533, 15.281836130405736, 8.031455943482149, 46.168775716171105, 47.71627461636002
10124, 1.4259, 13.865677573440333, 7.0324711530465995, 34.5643361911253, 56.06951967571834
10126, 2.0743, 13.395546512329362, 6.636761690822021, 29.66113660430639, 61.092481468408046
10128, 0.8658, 17.426229514140754, 6.706338569021849, 56.03287758684896, 34.885886045645584
10136, 2.3767, 15.423199679945062, 7.273070414891296, 44.30778965268372, 46.891158413002856
10144, 2.3445, 12.107174898379538, 6.127343501466292, 21.81051363157102, 68.90344931465582
10145, 2.4332, 10.648821565579272, 5.892590121948323, 16.560690898737782, 75.29657397741293
10150, 1.3240, 14.95997943752894, 7.495508230523558, 41.195779166589396, 50.74272573855312
10161, 1.1147, 13.448710200277965, 7.030556040226304, 31.809772738844856, 59.47317503691508
10165, 1.2041, 13.053292390678397, 6.732527924564912, 29.06502057613169, 62.05925925925926
10167, 1.1124, 13.231428641403625, 6.814880423764032, 30.187672922430746, 60.85369512317077
10168, 1.1129, 13.192332536774527, 6.9011012766967585, 30.320607642062924, 60.489969584656045
10174, 6.2911, 16.575945822969278, 6.973659852751726, 49.40673048013928, 41.37923801399794
10176, 6.3816, 16.650126478576553, 6.857895119600344, 49.7586724900548, 40.73914373939411
10177, 6.4653, 16.61785351879912, 6.787652656868026, 49.088377821209605, 40.97212926026077
10180, 6.9522, 16.483851785051872, 6.869991181548357, 48.18538422557416, 42.15376530427112
10182, 2.2883, 16.7342310091326, 6.319519036092563, 50.86026067076763, 37.53446934879446
10198, 3.9873, 14.428363651068164, 7.342060263786546, 38.62776233955273, 53.21754664549424
10199, 3.9704, 17.241288451257535, 6.97704597054647, 53.889583871117196, 37.67465565285307
10200, 3.5841, 12.822394904722417, 7.2590034198734195, 30.670315186629825, 61.66377862672028
10201, 3.9794, 15.94951754791056, 7.272132486368341, 47.055564608114715, 44.6491771223725
10202, 3.9536, 13.545864053992815, 7.495538461772799, 34.03781537666262, 58.643656679324806
10203, 3.9611, 16.80387459173912, 6.612298279926918, 51.215416069247524, 38.888003823482556
10204, 4.0412, 14.76462026883472, 7.063935427097853, 39.035507361930584, 51.7308510072822
10205, 2.3614, 11.444450732221005, 6.667188719848135, 23.16808915225755, 69.39260602308407
10206, 2.4421, 10.122018659741707, 6.363294813124789, 17.54514804553193, 76.32272924525154
10207, 2.3673, 11.382379999756703, 6.614982468123862, 22.644717520673932, 69.82765283252184
10208, 4.0075, 9.47586559809441, 5.542433459405807, 11.935778252454446, 82.34503645316245
1021, 4.6238, 16.748175446453434, 6.380142532277896, 48.78778837547281, 39.59923388610312
10215, 1.0940, 15.466507942802313, 7.149691413543543, 44.25353739532197, 46.60286291819644
10219, 1.5211, 14.156479056011307, 7.303288274058022, 37.30760536752769, 54.16846474734398
1022, 4.7171, 17.7722804851752, 6.221636320465387, 57.556159706048824, 31.853989403653976
