building_id, iters, time_s, mean_temp, std_temp, pct_above_18, pct_below_15
10000, 3602, 5.8242, 14.01233878811275, 6.367431059312565, 30.941014791508444, 55.542295034537624
10009, 5493, 3.1564, 11.000135812436369, 5.811144379826626, 16.6712734948236, 74.9723590310584
10014, 7965, 4.8206, 14.744169941950119, 7.037733284673849, 38.26367541377415, 52.80837116508215
10019, 7870, 4.7547, 14.735524480624479, 7.030325006703675, 38.14915412864569, 52.92926826787113
10029, 3493, 1.6695, 10.616037322820358, 6.317331938274926, 18.25563221896085, 74.51301795448481
10031, 4735, 2.6442, 12.507072852890545, 6.278432089100354, 24.044722033998173, 66.39513301711693
10051, 1535, 0.8937, 13.289039951277402, 5.999085063388632, 25.97693550756574, 62.859923608050536
10053, 4479, 2.3357, 11.366493551285709, 6.26121798185875, 19.9510754583921, 72.41052538787024
10056, 1592, 0.9282, 14.220114507861702, 6.179461157398301, 31.763454814173965, 57.06174975667784
10064, 6518, 3.8864, 12.71696893739585, 6.964227784263683, 28.79137124461432, 62.75688345539249
